 0000 00 00 00 00 00     50.0   100.0   150.0   200.0   256.3   284.1   250.0   303.3   303.8   300.0   368.1   350.0   400.0   465.2   450.0   500.0   554.4   584.3   550.0   609.8   629.7   600.0   650.0   703.3   700.0   765.1   770.4   789.4   750.0   800.0   850.0   900.0   977.0   950.0  1025.7  1031.9  1000.0
 0000 00 00 00 00 00    100.0   150.0   200.0   250.0   256.3   284.1   300.0   303.3   303.8   350.0   368.1   400.0   450.0   465.2   500.0   550.0   554.4   584.3   600.0   609.8   629.7   650.0   700.0   703.3   750.0   765.1   770.4   789.4   800.0   850.0   900.0   950.0   977.0  1000.0  1025.7  1031.9  1050.0
 2003 10 28 00 10 00  5.14683012e-03 1.40258910e-03 7.48214702e-03 5.69478657e-03 5.18842367e-04 7.45821453e-04 3.17460290e-03 5.12476265e-03 0.00000000e+00 3.91191831e-03 3.58059100e-04 1.76985282e-03 6.26241250e-04 1.16916650e-04 8.69170436e-04 6.81990835e-04 1.53414716e-04 5.11791441e-04 5.93415034e-04 2.45131057e-04 4.03620885e-04 5.89558684e-04 1.92849448e-04 5.17104927e-05 2.95836748e-04 6.36426485e-05 1.18845273e-04 5.64210168e-05 8.56061368e-04 1.31837752e-03 2.27625917e-03 1.80969057e-03 9.21118713e-04 1.44491235e-03 7.62646727e-04 4.26106068e-04 1.56936562e-03
 2003 10 28 00 11 00  5.14311972e-03 1.39941375e-03 7.47980795e-03 5.69252039e-03 5.18641609e-04 7.45531754e-04 3.17295745e-03 5.12097124e-03 0.00000000e+00 3.90919950e-03 3.57212150e-04 1.76862632e-03 6.25743865e-04 1.16855634e-04 8.68207783e-04 6.81561117e-04 1.53234883e-04 5.10639278e-04 5.93151289e-04 2.45147443e-04 4.03625454e-04 5.88934866e-04 1.92662195e-04 5.16505897e-05 2.95308915e-04 6.36023324e-05 1.18719574e-04 5.64218353e-05 8.55503358e-04 1.31657432e-03 2.27484474e-03 1.80829221e-03 9.16349585e-04 1.44364691e-03 7.62674375e-04 4.26117185e-04 1.56595074e-03
 2003 10 28 00 12 00  5.13942611e-03 1.39636428e-03 7.47746063e-03 5.69023042e-03 5.18442481e-04 7.45237921e-04 3.17128349e-03 5.11725387e-03 0.00000000e+00 3.90644972e-03 3.56344157e-04 1.76735973e-03 6.25227507e-04 1.16792362e-04 8.67210925e-04 6.81116980e-04 1.53047178e-04 5.09438512e-04 5.92880222e-04 2.45163799e-04 4.03630052e-04 5.88290094e-04 1.92471737e-04 5.15887405e-05 2.94766472e-04 6.35601245e-05 1.18588374e-04 5.64226539e-05 8.54926995e-04 1.31469741e-03 2.27337340e-03 1.80685236e-03 9.11416544e-04 1.44234886e-03 7.62702024e-04 4.26128303e-04 1.56241187e-03
 2003 10 28 00 13 00  5.13596312e-03 1.39360043e-03 7.47525575e-03 5.68806579e-03 5.18258254e-04 7.44959514e-04 3.16968662e-03 5.11381822e-03 0.00000000e+00 3.90383086e-03 3.55502649e-04 1.76612837e-03 6.24721511e-04 1.16730240e-04 8.66235638e-04 6.80683928e-04 1.52861772e-04 5.08254336e-04 5.92617497e-04 2.45180156e-04 4.03634622e-04 5.87660367e-04 1.92288478e-04 5.15282845e-05 2.94238895e-04 6.35182878e-05 1.18458673e-04 5.64234724e-05 8.54364255e-04 1.31284967e-03 2.27192904e-03 1.80545186e-03 9.06585192e-04 1.44108970e-03 7.62729673e-04 4.26139391e-04 1.55894102e-03
 2003 10 28 00 14 00  5.13276197e-03 1.39112780e-03 7.47321762e-03 5.68605315e-03 5.18090557e-04 7.44699908e-04 3.16818644e-03 5.11068478e-03 0.00000000e+00 3.90137168e-03 3.54697608e-04 1.76494847e-03 6.24232508e-04 1.16670039e-04 8.65294490e-04 6.80267558e-04 1.52681081e-04 5.07102115e-04 5.92366341e-04 2.45196541e-04 4.03639191e-04 5.87053608e-04 1.92114393e-04 5.14699677e-05 2.93732450e-04 6.34773533e-05 1.18332136e-04 5.64242873e-05 8.53822205e-04 1.31105511e-03 2.27053098e-03 1.80410814e-03 9.01915657e-04 1.43988436e-03 7.62757321e-04 4.26150480e-04 1.55558180e-03
 2003 10 28 00 15 00  5.12914973e-03 1.38846436e-03 7.47086410e-03 5.68371142e-03 5.17899112e-04 7.44396762e-04 3.16643311e-03 5.10722585e-03 0.00000000e+00 3.89854188e-03 3.53768788e-04 1.76356057e-03 6.23657289e-04 1.16599789e-04 8.64192609e-04 6.79779596e-04 1.52468419e-04 5.05747972e-04 5.92073539e-04 2.45212868e-04 4.03643760e-04 5.86345000e-04 1.91914794e-04 5.14022031e-05 2.93146359e-04 6.34290554e-05 1.18183423e-04 5.64251059e-05 8.53189876e-04 1.30894644e-03 2.26888203e-03 1.80254419e-03 8.96480400e-04 1.43848995e-03 7.62784912e-04 4.26161598e-04 1.55165930e-03
 2003 10 28 00 16 00  5.12504837e-03 1.38559843e-03 7.46812912e-03 5.68096770e-03 5.17679786e-04 7.44040124e-04 3.16436439e-03 5.10339765e-03 0.00000000e+00 3.89525472e-03 3.52684001e-04 1.76190728e-03 6.22970846e-04 1.16516581e-04 8.62884209e-04 6.79200001e-04 1.52214037e-04 5.04130963e-04 5.91727911e-04 2.45229225e-04 4.03648330e-04 5.85505915e-04 1.91683261e-04 5.13223458e-05 2.92459029e-04 6.33710879e-05 1.18005737e-04 5.64259208e-05 8.52441952e-04 1.30642999e-03 2.26690855e-03 1.80070001e-03 8.90061667e-04 1.43685603e-03 7.62812502e-04 4.26172686e-04 1.54701057e-03
 2003 10 28 00 17 00  5.12006482e-03 1.38234437e-03 7.46470777e-03 5.67750409e-03 5.17410284e-04 7.43587851e-04 3.16172819e-03 5.09889564e-03 0.00000000e+00 3.89114392e-03 3.51319643e-04 1.75977683e-03 6.22084125e-04 1.16410054e-04 8.61204378e-04 6.78455689e-04 1.51884364e-04 5.02040086e-04 5.91287361e-04 2.45245552e-04 4.03652899e-04 5.84432231e-04 1.91394288e-04 5.12207735e-05 2.91589787e-04 6.32956144e-05 1.17775729e-04 5.64267393e-05 8.51486157e-04 1.30317829e-03 2.26435040e-03 1.79835256e-03 8.81874934e-04 1.43479206e-03 7.62840151e-04 4.26183775e-04 1.54105469e-03
 2003 10 28 00 18 00  5.11605479e-03 1.37987450e-03 7.46195841e-03 5.67469823e-03 5.17200795e-04 7.43220153e-04 3.15954328e-03 5.09536965e-03 0.00000000e+00 3.88773518e-03 3.50153830e-04 1.75795211e-03 6.21312917e-04 1.16316893e-04 8.59747255e-04 6.77814066e-04 1.51593238e-04 5.00198978e-04 5.90911243e-04 2.45261879e-04 4.03657468e-04 5.83502965e-04 1.91149480e-04 5.11326762e-05 2.90841335e-04 6.32285082e-05 1.17572155e-04 5.64275542e-05 8.50659017e-04 1.30032416e-03 2.26212017e-03 1.79633586e-03 8.74749036e-04 1.43302384e-03 7.62867741e-04 4.26194834e-04 1.53585670e-03
 2003 10 28 00 19 00  5.11327012e-03 1.37822705e-03 7.46009443e-03 5.67278329e-03 5.17064647e-04 7.42968463e-04 3.15800623e-03 5.09296497e-03 0.00000000e+00 3.88530459e-03 3.49288341e-04 1.75661307e-03 6.20735275e-04 1.16246199e-04 8.58655943e-04 6.77337859e-04 1.51370899e-04 4.98796930e-04 5.90634637e-04 2.45278206e-04 4.03662038e-04 5.82807806e-04 1.90969049e-04 5.10663376e-05 2.90281486e-04 6.31769217e-05 1.17416123e-04 5.64283691e-05 8.50039830e-04 1.29815919e-03 2.26044744e-03 1.79483819e-03 8.69365409e-04 1.43170975e-03 7.62895274e-04 4.26205923e-04 1.53192527e-03
